UTC,Heat_demand
2013-05-19 22:00:00,150000.0
2013-05-19 23:00:00,150000.0
2013-05-20 00:00:00,150000.0
2013-05-20 01:00:00,150000.0
2013-05-20 02:00:00,150000.0
2013-05-20 03:00:00,150000.0
2013-05-20 04:00:00,150000.0
2013-05-20 05:00:00,150000.0
2013-05-20 06:00:00,150000.0
2013-05-20 07:00:00,150000.0
2013-05-20 08:00:00,150000.0
2013-05-20 09:00:00,150000.0
2013-05-20 10:00:00,150000.0
2013-05-20 11:00:00,150000.0
2013-05-20 12:00:00,150000.0
2013-05-20 13:00:00,150000.0
2013-05-20 14:00:00,100000.0
2013-05-20 15:00:00,100000.0
2013-05-20 16:00:00,100000.0
2013-05-20 17:00:00,100000.0
2013-05-20 18:00:00,100000.0
2013-05-20 19:00:00,100000.0
2013-05-20 20:00:00,100000.0
2013-05-20 21:00:00,100000.0
2013-05-20 22:00:00,100000.0
2013-05-20 23:00:00,100000.0
2013-05-21 00:00:00,100000.0
2013-05-21 01:00:00,100000.0
2013-05-21 02:00:00,100000.0
2013-05-21 03:00:00,50000.0
2013-05-21 04:00:00,50000.0
2013-05-21 05:00:00,50000.0
2013-05-21 06:00:00,50000.0
2013-05-21 07:00:00,50000.0
2013-05-21 08:00:00,50000.0
2013-05-21 09:00:00,50000.0
2013-05-21 10:00:00,50000.0
2013-05-21 11:00:00,50000.0
2013-05-21 12:00:00,50000.0
2013-05-21 13:00:00,50000.0
2013-05-21 14:00:00,50000.0
2013-05-21 15:00:00,50000.0
2013-05-21 16:00:00,50000.0
2013-05-21 17:00:00,50000.0
2013-05-21 18:00:00,50000.0
